participant,group,frequency,gram,item,response
p31,hs,f,g,fg1,5
p31,hs,f,g,fg2,2
p31,hs,f,g,fg3,2
p31,hs,f,g,fg4,4
p31,hs,f,g,fg5,5
p31,hs,f,g,fg6,5
p31,hs,f,g,fg7,4
p31,hs,f,g,fg8,4
p31,hs,f,u,fu1,1
p31,hs,f,u,fu2,2
p31,hs,f,u,fu3,5
p31,hs,f,u,fu4,2
p31,hs,f,u,fu5,5
p31,hs,f,u,fu6,3
p31,hs,f,u,fu7,5
p31,hs,f,u,fu8,2
p31,hs,u,g,ug1,5
p31,hs,u,g,ug2,1
p31,hs,u,g,ug3,5
p31,hs,u,g,ug4,3
p31,hs,u,g,ug5,5
p31,hs,u,g,ug6,1
p31,hs,u,g,ug7,3
p31,hs,u,g,ug8,4
p31,hs,u,u,uu1,5
p31,hs,u,u,uu2,3
p31,hs,u,u,uu3,3
p31,hs,u,u,uu4,5
p31,hs,u,u,uu5,3
p31,hs,u,u,uu6,5
p31,hs,u,u,uu7,3
p31,hs,u,u,uu8,5
p32,hs,f,g,fg1,1
p32,hs,f,g,fg2,1
p32,hs,f,g,fg3,2
p32,hs,f,g,fg4,3
p32,hs,f,g,fg5,2
p32,hs,f,g,fg6,4
p32,hs,f,g,fg7,4
p32,hs,f,g,fg8,3
p32,hs,f,u,fu1,2
p32,hs,f,u,fu2,1
p32,hs,f,u,fu3,2
p32,hs,f,u,fu4,3
p32,hs,f,u,fu5,5
p32,hs,f,u,fu6,4
p32,hs,f,u,fu7,2
p32,hs,f,u,fu8,4
p32,hs,u,g,ug1,5
p32,hs,u,g,ug2,3
p32,hs,u,g,ug3,4
p32,hs,u,g,ug4,1
p32,hs,u,g,ug5,3
p32,hs,u,g,ug6,3
p32,hs,u,g,ug7,1
p32,hs,u,g,ug8,4
p32,hs,u,u,uu1,1
p32,hs,u,u,uu2,3
p32,hs,u,u,uu3,4
p32,hs,u,u,uu4,5
p32,hs,u,u,uu5,1
p32,hs,u,u,uu6,1
p32,hs,u,u,uu7,1
p32,hs,u,u,uu8,4
p33,hs,f,g,fg1,5
p33,hs,f,g,fg2,1
p33,hs,f,g,fg3,1
p33,hs,f,g,fg4,5
p33,hs,f,g,fg5,5
p33,hs,f,g,fg6,5
p33,hs,f,g,fg7,5
p33,hs,f,g,fg8,5
p33,hs,f,u,fu1,4
p33,hs,f,u,fu2,2
p33,hs,f,u,fu3,5
p33,hs,f,u,fu4,2
p33,hs,f,u,fu5,5
p33,hs,f,u,fu6,5
p33,hs,f,u,fu7,4
p33,hs,f,u,fu8,5
p33,hs,u,g,ug1,4
p33,hs,u,g,ug2,1
p33,hs,u,g,ug3,5
p33,hs,u,g,ug4,1
p33,hs,u,g,ug5,5
p33,hs,u,g,ug6,2
p33,hs,u,g,ug7,5
p33,hs,u,g,ug8,5
p33,hs,u,u,uu1,5
p33,hs,u,u,uu2,1
p33,hs,u,u,uu3,5
p33,hs,u,u,uu4,5
p33,hs,u,u,uu5,2
p33,hs,u,u,uu6,5
p33,hs,u,u,uu7,5
p33,hs,u,u,uu8,5
p34,hs,f,g,fg1,5
p34,hs,f,g,fg2,3
p34,hs,f,g,fg3,5
p34,hs,f,g,fg4,3
p34,hs,f,g,fg5,3
p34,hs,f,g,fg6,3
p34,hs,f,g,fg7,5
