participant,proficiency,frequency,gram,avg_ajt
p01,hs_adv,f,g,4.25
p01,hs_adv,u,g,3.75
p02,hs_adv,f,g,4.5
p02,hs_adv,u,g,4
p03,hs_adv,f,g,4.875
p03,hs_adv,u,g,4.125
p04,hs_adv,f,g,5
p04,hs_adv,u,g,4.625
p05,hs_adv,f,g,3.875
p05,hs_adv,u,g,3.375
p06,hs_adv,f,g,2.875
p06,hs_adv,u,g,2.875
p07,hs_adv,f,g,3.75
p07,hs_adv,u,g,3.75
p08,hs_adv,f,g,3.875
p08,hs_adv,u,g,3.625
p09,hs_adv,f,g,4
p09,hs_adv,u,g,4.25
p10,hs_adv,f,g,3.75
p10,hs_adv,u,g,3.875
p11,hs_adv,f,g,2.875
p11,hs_adv,u,g,3.125
p12,hs_adv,f,g,3.875
p12,hs_adv,u,g,3.625
p13,hs_adv,f,g,3.375
p13,hs_adv,u,g,4.75
p14,hs_adv,f,g,3.375
p14,hs_adv,u,g,3
p15,hs_adv,f,g,4.625
p15,hs_adv,u,g,4.625
p16,co,f,g,3.625
p16,co,u,g,3.125
p17,co,f,g,3.875
p17,co,u,g,4.125
p18,co,f,g,3.5
p18,co,u,g,3.875
p19,co,f,g,4.25
p19,co,u,g,4.75
p20,co,f,g,5
p20,co,u,g,4.875
p21,co,f,g,2.875
p21,co,u,g,2.875
p22,co,f,g,4.5
p22,co,u,g,4.375
p23,co,f,g,4.25
p23,co,u,g,4
p24,co,f,g,4.625
p24,co,u,g,5
p25,co,f,g,3.875
p25,co,u,g,4.375
p26,co,f,g,5
p26,co,u,g,5
p27,co,f,g,4.125
p27,co,u,g,4.625
p28,co,f,g,5
p28,co,u,g,4.875
p29,co,f,g,5
p29,co,u,g,4.875
p30,co,f,g,4.5
p30,co,u,g,4.625
p31,hs_int,f,g,3.875
p31,hs_int,u,g,3.375
p32,hs_int,f,g,2.5
p32,hs_int,u,g,3
p33,hs_int,f,g,4
p33,hs_int,u,g,3.5
p34,hs_int,f,g,4
p34,hs_int,u,g,4.5
p35,hs_int,f,g,3.875
p35,hs_int,u,g,3
p36,hs_int,f,g,2.875
p36,hs_int,u,g,3.25
p37,hs_adv,f,g,3.375
p37,hs_adv,u,g,3.875
p38,hs_adv,f,g,3.625
p38,hs_adv,u,g,3.875
p39,hs_adv,f,g,3.375
p39,hs_adv,u,g,3.125
p40,hs_adv,f,g,4.375
p40,hs_adv,u,g,4.125
p41,hs_adv,f,g,3.125
p41,hs_adv,u,g,3.875
p42,hs_int,f,g,4
p42,hs_int,u,g,3.5
p43,hs_int,f,g,3
p43,hs_int,u,g,3.875
p44,hs_int,f,g,3.25
p44,hs_int,u,g,4.5
p45,hs_int,f,g,3.25
p45,hs_int,u,g,3.75
