participant,group,frequency,gram,item,response
p01,hs,f,g,fg1,5
p01,hs,f,g,fg2,1
p01,hs,f,g,fg3,5
p01,hs,f,g,fg4,5
p01,hs,f,g,fg5,5
p01,hs,f,g,fg6,4
p01,hs,f,g,fg7,5
p01,hs,f,g,fg8,4
p01,hs,f,u,fu1,3
p01,hs,f,u,fu2,5
p01,hs,f,u,fu3,3
p01,hs,f,u,fu4,5
p01,hs,f,u,fu5,5
p01,hs,f,u,fu6,4
p01,hs,f,u,fu7,5
p01,hs,f,u,fu8,5
p01,hs,u,g,ug1,5
p01,hs,u,g,ug2,2
p01,hs,u,g,ug3,2
p01,hs,u,g,ug4,5
p01,hs,u,g,ug5,5
p01,hs,u,g,ug6,5
p01,hs,u,g,ug7,2
p01,hs,u,g,ug8,4
p01,hs,u,u,uu1,4
p01,hs,u,u,uu2,5
p01,hs,u,u,uu3,1
p01,hs,u,u,uu4,5
p01,hs,u,u,uu5,5
p01,hs,u,u,uu6,3
p01,hs,u,u,uu7,3
p01,hs,u,u,uu8,5
p02,hs,f,g,fg1,5
p02,hs,f,g,fg2,5
p02,hs,f,g,fg3,5
p02,hs,f,g,fg4,2
p02,hs,f,g,fg5,5
p02,hs,f,g,fg6,5
p02,hs,f,g,fg7,5
p02,hs,f,g,fg8,4
p02,hs,f,u,fu1,5
p02,hs,f,u,fu2,2
p02,hs,f,u,fu3,5
p02,hs,f,u,fu4,1
p02,hs,f,u,fu5,5
p02,hs,f,u,fu6,5
p02,hs,f,u,fu7,5
p02,hs,f,u,fu8,5
p02,hs,u,g,ug1,5
p02,hs,u,g,ug2,5
p02,hs,u,g,ug3,4
p02,hs,u,g,ug4,5
p02,hs,u,g,ug5,5
p02,hs,u,g,ug6,1
p02,hs,u,g,ug7,5
p02,hs,u,g,ug8,2
p02,hs,u,u,uu1,5
p02,hs,u,u,uu2,5
p02,hs,u,u,uu3,5
p02,hs,u,u,uu4,5
p02,hs,u,u,uu5,5
p02,hs,u,u,uu6,3
p02,hs,u,u,uu7,4
p02,hs,u,u,uu8,5
p03,hs,f,g,fg1,5
p03,hs,f,g,fg2,5
p03,hs,f,g,fg3,5
p03,hs,f,g,fg4,4
p03,hs,f,g,fg5,5
p03,hs,f,g,fg6,5
p03,hs,f,g,fg7,5
p03,hs,f,g,fg8,5
p03,hs,f,u,fu1,4
p03,hs,f,u,fu2,2
p03,hs,f,u,fu3,2
p03,hs,f,u,fu4,4
p03,hs,f,u,fu5,2
p03,hs,f,u,fu6,5
p03,hs,f,u,fu7,3
p03,hs,f,u,fu8,3
p03,hs,u,g,ug1,3
p03,hs,u,g,ug2,5
p03,hs,u,g,ug3,3
p03,hs,u,g,ug4,5
p03,hs,u,g,ug5,3
p03,hs,u,g,ug6,5
p03,hs,u,g,ug7,5
p03,hs,u,g,ug8,4
p03,hs,u,u,uu1,5
p03,hs,u,u,uu2,2
p03,hs,u,u,uu3,2
p03,hs,u,u,uu4,3
p03,hs,u,u,uu5,3
p03,hs,u,u,uu6,3
p03,hs,u,u,uu7,3
p03,hs,u,u,uu8,3
p04,hs,f,g,fg1,5
p04,hs,f,g,fg2,5
p04,hs,f,g,fg3,5
p04,hs,f,g,fg4,5
p04,hs,f,g,fg5,5
p04,hs,f,g,fg6,5
p04,hs,f,g,fg7,5
p04,hs,f,g,fg8,5
p04,hs,f,u,fu1,4
p04,hs,f,u,fu2,4
p04,hs,f,u,fu3,4
p04,hs,f,u,fu4,1
p04,hs,f,u,fu5,4
p04,hs,f,u,fu6,5
p04,hs,f,u,fu7,5
