participant,proficiency,frequency,avg_ept
p01,hs_adv,f,-2.833213344056216
p01,hs_adv,u,-2.833213344056216
p02,hs_adv,f,-2.833213344056216
p02,hs_adv,u,-2.833213344056216
p03,hs_adv,f,2.833213344056216
p03,hs_adv,u,2.833213344056216
p04,hs_adv,f,0.9555114450274363
p04,hs_adv,u,1.6094379124341003
p05,hs_adv,f,0.9555114450274363
p05,hs_adv,u,1.6094379124341003
p06,hs_adv,f,-2.833213344056216
p06,hs_adv,u,-2.833213344056216
p07,hs_adv,f,-2.833213344056216
p07,hs_adv,u,-2.833213344056216
p08,hs_adv,f,-2.833213344056216
p08,hs_adv,u,-2.833213344056216
p09,hs_adv,f,0.9555114450274363
p09,hs_adv,u,0.4519851237430572
p10,hs_adv,f,0.9555114450274363
p10,hs_adv,u,-0.45198512374305727
p11,hs_adv,f,-2.833213344056216
p11,hs_adv,u,-2.833213344056216
p12,hs_adv,f,-2.833213344056216
p12,hs_adv,u,-2.833213344056216
p13,hs_adv,f,-1.6094379124341003
p13,hs_adv,u,-1.6094379124341003
p14,hs_adv,f,2.833213344056216
p14,hs_adv,u,1.6094379124341003
p15,hs_adv,f,0.9555114450274363
p15,hs_adv,u,0.4519851237430572
p16,co,f,2.833213344056216
p16,co,u,2.833213344056216
p17,co,f,2.833213344056216
p17,co,u,2.833213344056216
p18,co,f,2.833213344056216
p18,co,u,2.833213344056216
p19,co,f,2.833213344056216
p19,co,u,2.833213344056216
p20,co,f,2.833213344056216
p20,co,u,2.833213344056216
p21,co,f,2.833213344056216
p21,co,u,2.833213344056216
p22,co,f,2.833213344056216
p22,co,u,2.833213344056216
p23,co,f,2.833213344056216
p23,co,u,2.833213344056216
p24,co,f,2.833213344056216
p24,co,u,2.833213344056216
p25,co,f,2.833213344056216
p25,co,u,2.833213344056216
p26,co,f,2.833213344056216
p26,co,u,2.833213344056216
p27,co,f,2.833213344056216
p27,co,u,2.833213344056216
p28,co,f,2.833213344056216
p28,co,u,2.833213344056216
p29,co,f,2.833213344056216
p29,co,u,2.833213344056216
p30,co,f,1.6094379124341003
p30,co,u,2.833213344056216
p31,hs_int,f,-2.833213344056216
p31,hs_int,u,-2.833213344056216
p32,hs_int,f,-1.6094379124341003
p32,hs_int,u,-2.833213344056216
p33,hs_int,f,0
p33,hs_int,u,-0.9555114450274363
p34,hs_int,f,0
p34,hs_int,u,-0.9555114450274363
p35,hs_int,f,-1.6094379124341003
p35,hs_int,u,-2.833213344056216
p36,hs_int,f,-2.833213344056216
p36,hs_int,u,-2.833213344056216
p37,hs_adv,f,0.9555114450274363
p37,hs_adv,u,0.4519851237430572
p38,hs_adv,f,0
p38,hs_adv,u,-0.45198512374305727
p39,hs_adv,f,1.6094379124341003
p39,hs_adv,u,0.9555114450274363
p40,hs_adv,f,1.6094379124341003
p40,hs_adv,u,0.4519851237430572
p41,hs_adv,f,-0.45198512374305727
p41,hs_adv,u,0.4519851237430572
p42,hs_int,f,0
p42,hs_int,u,-0.9555114450274363
p43,hs_int,f,-1.6094379124341003
p43,hs_int,u,-2.833213344056216
p44,hs_int,f,-2.833213344056216
p44,hs_int,u,-2.833213344056216
p45,hs_int,f,-0.9555114450274363
p45,hs_int,u,-2.833213344056216
