participant,group,frequency,item,response
p01,hs,f,f1,0
p01,hs,f,f2,0
p01,hs,f,f3,0
p01,hs,f,f4,0
p01,hs,f,f5,0
p01,hs,f,f6,0
p01,hs,f,f7,0
p01,hs,f,f8,0
p01,hs,u,u1,0
p01,hs,u,u2,0
p01,hs,u,u3,0
p01,hs,u,u4,0
p01,hs,u,u5,0
p01,hs,u,u6,0
p01,hs,u,u7,0
p01,hs,u,u8,0
p02,hs,f,f1,0
p02,hs,f,f2,0
p02,hs,f,f3,0
p02,hs,f,f4,0
p02,hs,f,f5,0
p02,hs,f,f6,0
p02,hs,f,f7,0
p02,hs,f,f8,0
p02,hs,u,u1,0
p02,hs,u,u2,0
p02,hs,u,u3,0
p02,hs,u,u4,0
p02,hs,u,u5,0
p02,hs,u,u6,0
p02,hs,u,u7,0
p02,hs,u,u8,0
p03,hs,f,f1,1
p03,hs,f,f2,1
p03,hs,f,f3,1
p03,hs,f,f4,1
p03,hs,f,f5,1
p03,hs,f,f6,1
p03,hs,f,f7,1
p03,hs,f,f8,1
p03,hs,u,u1,1
p03,hs,u,u2,1
p03,hs,u,u3,1
p03,hs,u,u4,1
p03,hs,u,u5,1
p03,hs,u,u6,1
p03,hs,u,u7,1
p03,hs,u,u8,1
p04,hs,f,f1,1
p04,hs,f,f2,0
p04,hs,f,f3,1
p04,hs,f,f4,1
p04,hs,f,f5,1
p04,hs,f,f6,1
p04,hs,f,f7,0
p04,hs,f,f8,1
p04,hs,u,u1,1
p04,hs,u,u2,1
p04,hs,u,u3,1
p04,hs,u,u4,1
p04,hs,u,u5,1
p04,hs,u,u6,1
p04,hs,u,u7,1
p04,hs,u,u8,0
p05,hs,f,f1,1
p05,hs,f,f2,1
p05,hs,f,f3,1
p05,hs,f,f4,0
p05,hs,f,f5,1
p05,hs,f,f6,0
p05,hs,f,f7,1
p05,hs,f,f8,1
p05,hs,u,u1,1
p05,hs,u,u2,0
p05,hs,u,u3,1
p05,hs,u,u4,1
p05,hs,u,u5,1
p05,hs,u,u6,1
p05,hs,u,u7,1
p05,hs,u,u8,1
p06,hs,f,f1,0
p06,hs,f,f2,0
p06,hs,f,f3,0
p06,hs,f,f4,0
p06,hs,f,f5,0
p06,hs,f,f6,0
p06,hs,f,f7,0
p06,hs,f,f8,0
p06,hs,u,u1,0
p06,hs,u,u2,0
p06,hs,u,u3,0
p06,hs,u,u4,0
p06,hs,u,u5,0
p06,hs,u,u6,0
p06,hs,u,u7,0
p06,hs,u,u8,0
p07,hs,f,f1,0
p07,hs,f,f2,0
p07,hs,f,f3,0
p07,hs,f,f4,0
p07,hs,f,f5,0
p07,hs,f,f6,0
p07,hs,f,f7,0
p07,hs,f,f8,0
p07,hs,u,u1,0
p07,hs,u,u2,0
p07,hs,u,u3,0
p07,hs,u,u4,0
p07,hs,u,u5,0
p07,hs,u,u6,0
p07,hs,u,u7,0
p07,hs,u,u8,0
p08,hs,f,f1,0
p08,hs,f,f2,0
p08,hs,f,f3,0
p08,hs,f,f4,0
p08,hs,f,f5,0
p08,hs,f,f6,0
p08,hs,f,f7,0
p08,hs,f,f8,0
p08,hs,u,u1,0
p08,hs,u,u2,0
p08,hs,u,u3,0
p08,hs,u,u4,0
p08,hs,u,u5,0
p08,hs,u,u6,0
p08,hs,u,u7,0
p08,hs,u,u8,0
p09,hs,f,f1,1
p09,hs,f,f2,1
p09,hs,f,f3,1
p09,hs,f,f4,1
p09,hs,f,f5,0
p09,hs,f,f6,1
p09,hs,f,f7,1
p09,hs,f,f8,0
p09,hs,u,u1,1
p09,hs,u,u2,1
p09,hs,u,u3,1
p09,hs,u,u4,0
p09,hs,u,u5,1
p09,hs,u,u6,1
p09,hs,u,u7,0
p09,hs,u,u8,0
p10,hs,f,f1,1
p10,hs,f,f2,1
p10,hs,f,f3,1
p10,hs,f,f4,1
p10,hs,f,f5,1
p10,hs,f,f6,1
p10,hs,f,f7,0
p10,hs,f,f8,0
p10,hs,u,u1,0
p10,hs,u,u2,1
p10,hs,u,u3,1
p10,hs,u,u4,1
p10,hs,u,u5,0
p10,hs,u,u6,0
p10,hs,u,u7,0
p10,hs,u,u8,0
p11,hs,f,f1,0
p11,hs,f,f2,0
p11,hs,f,f3,0
p11,hs,f,f4,0
p11,hs,f,f5,0
p11,hs,f,f6,0
p11,hs,f,f7,0
p11,hs,f,f8,0
p11,hs,u,u1,0
p11,hs,u,u2,0
p11,hs,u,u3,0
p11,hs,u,u4,0
p11,hs,u,u5,0
p11,hs,u,u6,0
p11,hs,u,u7,0
p11,hs,u,u8,0
p12,hs,f,f1,0
p12,hs,f,f2,0
p12,hs,f,f3,0
p12,hs,f,f4,0
p12,hs,f,f5,0
p12,hs,f,f6,0
p12,hs,f,f7,0
p12,hs,f,f8,0
p12,hs,u,u1,0
p12,hs,u,u2,0
p12,hs,u,u3,0
p12,hs,u,u4,0
p12,hs,u,u5,0
p12,hs,u,u6,0
p12,hs,u,u7,0
p12,hs,u,u8,0
p13,hs,f,f1,0
p13,hs,f,f2,0
p13,hs,f,f3,0
p13,hs,f,f4,0
p13,hs,f,f5,0
p13,hs,f,f6,1
p13,hs,f,f7,0
p13,hs,f,f8,0
p13,hs,u,u1,0
p13,hs,u,u2,0
p13,hs,u,u3,0
p13,hs,u,u4,0
p13,hs,u,u5,1
p13,hs,u,u6,0
p13,hs,u,u7,0
p13,hs,u,u8,0
p14,hs,f,f1,1
p14,hs,f,f2,1
p14,hs,f,f3,1
p14,hs,f,f4,1
p14,hs,f,f5,1
p14,hs,f,f6,1
p14,hs,f,f7,1
p14,hs,f,f8,1
p14,hs,u,u1,1
p14,hs,u,u2,1
p14,hs,u,u3,1
p14,hs,u,u4,1
p14,hs,u,u5,1
p14,hs,u,u6,1
p14,hs,u,u7,0
p14,hs,u,u8,1
p15,hs,f,f1,1
