participant,proficiency,DELE
p01,hs_adv,42
p02,hs_adv,45
p03,hs_adv,47
p04,hs_adv,46
p05,hs_adv,46
p06,hs_adv,40
p07,hs_adv,46
p08,hs_adv,44
p09,hs_adv,43
p10,hs_adv,46
p11,hs_adv,42
p12,hs_adv,42
p13,hs_adv,44
p14,hs_adv,46
p15,hs_adv,43
p16,co,NA
p17,co,NA
p18,co,NA
p19,co,NA
p20,co,NA
p21,co,NA
p22,co,NA
p23,co,NA
p24,co,NA
p25,co,NA
p26,co,NA
p27,co,NA
p28,co,NA
p29,co,NA
p30,co,NA
p31,hs_int,36
p32,hs_int,38
p33,hs_int,32
p34,hs_int,37
p35,hs_int,30
p36,hs_int,32
p37,hs_adv,44
p38,hs_adv,48
p39,hs_adv,44
p40,hs_adv,47
p41,hs_adv,43
p42,hs_int,32
p43,hs_int,37
p44,hs_int,35
p45,hs_int,35
